Invoice,,,Parts,,Labor,,Sublet,,HazMat & Fees,,Shop Supplies,,Discount,,Subtotal,,Tax,Total,Shop Name,Shop Identifier
Date,Number,URL,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed
01/06/2022,21495,https://autohousenwa.shop-ware.com/work_orders/45571469,502.73,0.00,1140.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,1667.73,0.00,183.45,1851.18,AutoHouse Automotive,NWA
01/07/2022,21579,https://autohousenwa.shop-ware.com/work_orders/46815418,451.50,0.00,540.00,0.00,0.00,0.00,0.00,0.00,24.30,0.00,0.00,0.00,1015.80,0.00,111.74,1127.54,AutoHouse Automotive,NWA
01/07/2022,21617,https://autohousenwa.shop-ware.com/work_orders/47558728,0.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,4.59,0.00,0.00,0.00,106.59,0.00,11.72,118.31,AutoHouse Automotive,NWA
01/07/2022,21610,https://autohousenwa.shop-ware.com/work_orders/47550226,177.62,0.00,228.00,0.00,0.00,0.00,0.00,0.00,10.26,0.00,0.00,0.00,415.88,0.00,45.75,461.63,AutoHouse Automotive,NWA
01/10/2022,21573,https://autohousenwa.shop-ware.com/work_orders/46806897,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,125.40,0.00,13.79,139.19,AutoHouse Automotive,NWA
01/10/2022,21493,https://autohousenwa.shop-ware.com/work_orders/45430441,589.71,0.00,30.50,0.00,0.00,0.00,12.00,0.00,1.37,0.00,0.00,0.00,633.58,0.00,69.70,703.28,AutoHouse Automotive,NWA
01/10/2022,21612,https://autohousenwa.shop-ware.com/work_orders/47551621,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,4.05,0.00,0.00,0.00,94.05,0.00,10.35,104.40,AutoHouse Automotive,NWA
01/10/2022,21621,https://autohousenwa.shop-ware.com/work_orders/47571340,74.66,0.00,30.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,106.01,0.00,11.66,117.67,AutoHouse Automotive,NWA
01/10/2022,21156,https://autohousenwa.shop-ware.com/work_orders/41236507,54.32,0.00,120.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,179.72,0.00,19.77,199.49,AutoHouse Automotive,NWA
01/11/2022,21586,https://autohousenwa.shop-ware.com/work_orders/46817498,55.29,0.00,120.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,180.69,0.00,19.88,200.57,AutoHouse Automotive,NWA
01/11/2022,21637,https://autohousenwa.shop-ware.com/work_orders/47896278,71.22,0.00,30.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,102.57,0.00,11.28,113.85,AutoHouse Automotive,NWA
01/12/2022,21601,https://autohousenwa.shop-ware.com/work_orders/47255624,21.43,0.00,300.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,0.00,0.00,334.93,0.00,36.84,371.77,AutoHouse Automotive,NWA
01/12/2022,21602,https://autohousenwa.shop-ware.com/work_orders/47257296,91.12,0.00,240.00,0.00,0.00,0.00,0.00,0.00,10.80,0.00,0.00,0.00,341.92,0.00,37.61,379.53,AutoHouse Automotive,NWA
01/12/2022,21604,https://autohousenwa.shop-ware.com/work_orders/47265589,312.76,0.00,216.00,0.00,0.00,0.00,0.00,0.00,9.72,0.00,0.00,0.00,538.48,0.00,59.23,597.71,AutoHouse Automotive,NWA
01/12/2022,21556,https://autohousenwa.shop-ware.com/work_orders/46787554,591.56,0.00,960.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,1576.56,0.00,173.42,1749.98,AutoHouse Automotive,NWA
01/12/2022,21620,https://autohousenwa.shop-ware.com/work_orders/47571192,493.56,0.00,756.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,1274.56,0.00,140.20,1414.76,AutoHouse Automotive,NWA
01/12/2022,20667,https://autohousenwa.shop-ware.com/work_orders/32624655,769.92,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,773.92,0.00,85.13,859.05,AutoHouse Automotive,NWA
01/13/2022,21598,https://autohousenwa.shop-ware.com/work_orders/47250398,31.90,0.00,60.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,94.60,0.00,10.41,105.01,AutoHouse Automotive,NWA
01/13/2022,21665,https://autohousenwa.shop-ware.com/work_orders/48083743,54.47,0.00,36.00,0.00,0.00,0.00,0.00,0.00,1.62,0.00,0.00,0.00,92.09,0.00,10.13,102.22,AutoHouse Automotive,NWA
01/13/2022,21636,https://autohousenwa.shop-ware.com/work_orders/47813235,466.36,0.00,720.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,1211.36,0.00,133.25,1344.61,AutoHouse Automotive,NWA
01/14/2022,21628,https://autohousenwa.shop-ware.com/work_orders/47787208,717.59,0.00,780.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,1522.59,0.00,167.48,1690.07,AutoHouse Automotive,NWA
